 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
     17     5,95      23,13       1,98    9644   1 RuntimeBroker
     26    11,04      35,50       1,19   10724   1 RuntimeBroker
     17     4,03      17,78       2,89   11576   1 RuntimeBroker
     14     3,78      14,82       0,77   12012   1 RuntimeBroker
     14     2,98      15,04       0,19   12264   1 RuntimeBroker
     16     6,43      25,03       0,38   12776   1 RuntimeBroker
     12     3,17      16,63       0,75   13896   1 RuntimeBroker
      8     1,77       6,88       0,00   14720   1 RuntimeBroker
    167   172,73     258,22       8,44   10524   1 SearchApp
      8     1,61       7,27       0,00    2284   0 SearchFilterHost
     72    30,57      33,08       0,00   10128   0 SearchIndexer
     14     2,80      14,13       0,00   12728   0 SearchProtocolHost
      0     0,18      38,04       0,00      72   0 SecureSystem
     15     3,80      14,20       0,00   10308   0 SecurityHealthService
     10     1,82       8,86       0,08    2660   1 SecurityHealthSystray
      6     4,44       4,44       0,00     848   1 sed
      6     4,45       4,46       0,00    9628   1 sed
     12     6,18      11,00       0,00     964   0 services
      4     0,58       2,92       0,00    4796   0 SessionService
     11     2,42       5,59       0,11   11852   1 SettingSyncHost
      7     7,12       9,01       0,00   14920   0 SgrmBroker
     28    16,68      64,75       2,48   11832   1 ShellExperienceHost
     16     8,11      17,68       0,00    4840   1 shtctky
     18     6,21      26,64       2,44    4632   1 sihost
     22     8,31      23,08       0,25   11480   1 smartscreen
      3     1,04       1,19       0,00     544   0 smss
      8     1,45       7,34       0,00   14908   0 SocketHeciServer
     23     5,93      17,04       0,00    3376   0 spoolsv
     13     9,02      14,35       0,00    5484   0 SPSSLVpnService
      9     2,06       7,82       0,00    4940   0 sqlwriter
      7     5,04       5,29       0,02   13604   1 ssh-agent
      7     1,13       5,29       0,00   14880   0 ssh-agent
     30    22,70      66,18       2,30    8088   1 StartMenuExperienceHost
     24    12,21      32,06       0,00    1048   0 svchost
     12     5,28      13,89       0,00    1072   0 svchost
     19     7,70      15,03       0,00    1204   0 svchost
      7     1,45       5,92       0,00    1228   0 svchost
     13     2,62       8,30       0,00    1304   0 svchost
     10     1,94       7,46       0,00    1500   0 svchost
      7     1,23       5,20       0,00    1528   0 svchost
      9     1,13       5,16       0,00    1536   0 svchost
     10     1,82       8,21       0,00    1556   0 svchost
     13     2,43      10,15       0,00    1596   0 svchost
      9     2,05       8,08       0,00    1624   0 svchost
     12     2,74       8,49       0,00    1660   0 svchost
      9     2,09       7,72       0,00    1700   0 svchost
      9     1,61       7,12       0,00    1768   0 svchost
     12     2,45      11,31       0,00    1804   0 svchost
     18     6,55      15,27       0,00    1952   0 svchost
     15    23,37      24,80       0,00    1980   0 svchost
     12     2,04       8,29       0,00    2016   0 svchost
     17    14,44      23,29       0,00    2064   0 svchost
     25     4,57       8,56       0,00    2228   0 svchost
     14     3,45      19,99       0,00    2236   0 svchost
     10     2,80       7,99       0,00    2296   0 svchost
     15     5,14      12,94       0,00    2556   0 svchost
     12     3,21       9,84       0,00    2712   0 svchost
     11     2,32      10,09       0,00    2740   0 svchost
      7     1,29       5,65       0,00    2896   0 svchost
     12     2,97      13,56       0,00    2904   0 svchost
     10    11,88      20,06       0,00    2912   0 svchost
     10     1,94       7,71       0,00    3048   0 svchost
     10     2,12       8,02       0,00    3056   0 svchost
     12     4,34      13,48       0,00    3160   0 svchost
      9     2,02       7,36       0,00    3184   0 svchost
      8     1,60       6,99       0,00    3212   0 svchost
     15     3,84       9,14       0,00    3300   0 svchost
      8     1,52       6,74       0,00    3344   0 svchost
     34    19,05      27,98       0,00    3424   0 svchost
     13     3,37      12,82       0,00    3508   0 svchost
     12     2,59      10,20       0,00    3540   0 svchost
     16    10,80      18,29       0,00    3572   0 svchost
     11     1,63       6,45       0,00    3620   0 svchost
     15     3,09      10,19       0,00    3624   0 svchost
     24     6,39      19,52       0,00    3868   0 svchost
     16     3,13      14,27       0,00    3976   0 svchost
     19     8,90      17,48       0,00    4108   0 svchost
     87     3,00      11,84       0,00    4168   0 svchost
     11     2,13       8,07       0,00    4188   0 svchost
      7     1,64       6,55       0,00    4304   0 svchost
     26    15,60      30,01       0,00    4368   0 svchost
     23     2,92      10,16       0,00    4376   0 svchost
     14     2,66       7,91       0,00    4384   0 svchost
     16     2,92      10,72       0,00    4392   0 svchost
     24    11,99      20,72       0,00    4412   0 svchost
     12     2,35       8,94       0,00    4520   0 svchost
      9     1,53       6,55       0,00    4612   0 svchost
      8     1,56       7,00       0,00    4664   0 svchost
      7     1,24       5,49       0,00    4856   0 svchost
     26     3,53      13,17       0,00    4884   0 svchost
     18     3,65      17,03       0,00    4908   0 svchost
     12     2,27       7,33       0,00    4956   0 svchost
      7     1,31       5,32       0,00    5216   0 svchost
     15     5,93      16,62       0,00    5232   0 svchost
      9     1,83       7,92       0,00    5588   0 svchost
     18    12,14      23,67       0,00    6004   0 svchost
     23     2,36       7,64       0,00    6184   0 svchost
     11     2,38       8,50       0,00    6216   0 svchost
     12     2,39      10,48       0,00    6988   0 svchost
     11     1,98       8,64       0,00    7120   0 svchost
     18     8,29      27,64       0,97    7628   1 svchost
     24     8,89      35,38       1,72    7796   1 svchost
     15     4,19      21,84       0,00    7976   0 svchost
     25     5,72      20,89       0,44    8452   1 svchost
     22     4,55      16,91       0,00    8524   0 svchost
      9     1,83       7,52       0,00    9444   0 svchost
     11     2,53       8,89       0,00    9508   0 svchost
     13     3,25      17,04       0,23    9764   1 svchost
     15     2,98       9,86       0,00   10648   0 svchost
     16     4,21      14,54       0,00   11548   0 svchost
     10     1,78       8,83       0,00   11976   0 svchost
      7     1,37       5,59       0,00   12164   0 svchost
     12     4,23       9,46       0,00   12200   0 svchost
     12     2,61       9,48       0,00   12796   0 svchost
     11     2,34      13,45       0,00   12856   0 svchost
      8     2,93       8,55       0,00   13436   0 svchost
     73    20,64      23,45       0,00   13972   0 svchost
      9     1,66      10,64       0,00   13980   0 svchost
     20     6,88      21,10       1,16   13988   1 svchost
     14     5,75      20,14       0,00   14464   0 svchost
     11     2,61      11,03       0,00   14860   0 svchost
     27     6,49      17,65       0,00   14916   0 svchost
      0     0,20       2,79       0,00       4   0 System
     41    24,56      18,75       1,69   13268   1 SystemSettings
     29     5,73      14,86       0,33    8552   1 taskhostw
     22    13,58      53,10       0,33   11704   1 TextInputHost
     12     6,79      12,48       0,00   14032   0 TiWorker
     18     8,70      19,17       0,00    4920   0 tphkload
      9     1,41       6,62       0,47    4872   1 tposd
      8     2,01       7,51       0,00    2748   0 TrustedInstaller
     10     2,04       9,41       0,05   12648   1 UserOOBEBroker
     10     2,50      10,59       0,00    3908   0 vmcompute
      0 4.086,05   4.078,02       0,00    8780   0 vmmem
     24    39,36      22,62       0,00    2324   0 vmms
     39    11,30      18,85       0,00    8540   0 vmwp
     10    27,22      27,80       0,33    5096   1 vpnkit
     13    20,92      15,50       0,81    3256   1 vpnkit-bridge
     36    28,20      79,11       4,67    9980   1 WindowsTerminal
     11     1,38       6,36       0,00     856   0 wininit
     14     2,80      12,20       0,00     952   1 winlogon
     70    55,09      33,80       2,44   15316   1 WinStore.App
      7     1,25       5,71       0,00    4080   0 wlanext
     15     7,41      16,15       0,00    7096   0 WmiPrvSE
     11     2,09       8,69       0,00    9720   0 WmiPrvSE
     11     2,98       9,93       0,00   14068   0 WmiPrvSE
      7     1,32       6,57       0,02    6460   1 wsl
      7     1,34       6,60       0,08    9772   1 wsl
      7     1,38       6,75       0,05   12368   1 wsl
      7     1,33       6,60       0,03   12472   1 wsl
      7     1,39       6,75       0,00   13056   1 wsl
      7     1,34       6,61       0,02   14652   1 wsl
      7     1,18       6,18       0,02    3848   1 wslhost
      7     1,16       6,16       0,00    7112   1 wslhost
      7     1,21       6,21       0,02    7344   1 wslhost
      7     1,19       6,19       0,02    7904   1 wslhost
